source_id,title,url,lineage_count,Agent OS Foundations,Workflow & Procedural Systems,"Context, Memory & Playbooks","Assurance, Governance & Quality","Runtime, Reliability & Sandbox","Routing, Economics & Observability",Interoperability & Protocols,"Experience, TUI & UX",Research Methodology & Evidence
source.56d6e4c61e9846b3,Agentic Harness Engineering,https://arxiv.org/abs/2604.25850,3,1,1,0,0,0,0,0,0,1
source.9d203efaa76ee18e,Google Gemini + Temporal durable agent example,https://ai.google.dev/gemini-api/docs/temporal-example,3,1,1,0,0,1,0,0,0,0
source.ad5041ab62613a3c,OpenTelemetry GenAI Observability,https://opentelemetry.io/blog/2026/genai-observability/,3,0,0,0,0,0,1,0,1,1
source.527879d579fc7ca2,"Agent libOS: A Library-OS-Inspired Runtime for Long-Running, Capability-Controlled LLM Agents",https://arxiv.org/abs/2606.03895,2,1,0,0,0,1,0,0,0,0
source.3bef6a91327c3092,MCP 2026-07-28 Specification,https://blog.modelcontextprotocol.io/posts/2026-07-28/,2,0,0,1,0,0,0,1,0,0
source.f3a0ef8fc6a40e42,Microsoft Agent Framework — Durable Extension,https://learn.microsoft.com/en-us/agent-framework/integrations/durable-extension,2,1,1,0,0,0,0,0,0,0
source.5e36eebf9907b8ee,OpenTelemetry Semantic Conventions,https://opentelemetry.io/docs/specs/semconv/,2,0,0,0,0,1,0,1,0,0
source.370e110898b75c91,SWE-Mutation: Can LLMs Generate Reliable Test Suites in Software Engineering?,https://aclanthology.org/2026.findings-acl.1976/,2,0,0,0,1,0,0,0,0,1
source.8e0e73dd0c7af551,"When the Judge Changes, So Does the Measurement",https://arxiv.org/abs/2607.08535,2,0,0,0,1,0,0,0,0,1
source.81c64c3e8bc6929c,A2A Protocol Specification 1.0,https://a2a-protocol.org/dev/specification/,1,0,0,0,0,0,0,1,0,0
source.e1813bb8a266b7d9,A2A v1.0 announcement,https://a2a-protocol.org/latest/announcing-1.0/,1,0,0,0,0,0,0,1,0,0
source.6efb23cfb97b4c7d,"AI Agent Systems: Architectures, Applications, and Evaluation",https://arxiv.org/abs/2601.01743,1,0,1,0,0,0,0,0,0,0
source.9ba5209421c9ff99,AJ-Bench: Benchmarking Agent-as-a-Judge for Environment-Aware Evaluation,https://arxiv.org/abs/2604.18240,1,0,0,0,1,0,0,0,0,0
source.112d68222d63a212,Active Context Compression: Autonomous Memory Management in LLM Agents,https://arxiv.org/abs/2601.07190,1,0,0,1,0,0,0,0,0,0
source.83a65e5e95d43d5f,Agent-as-a-Router: Agentic Model Routing for Coding Tasks,https://arxiv.org/abs/2606.22902,1,0,0,0,0,0,1,0,0,0
source.b1f6a5b000043e0d,AgentGUI: An Interface for Observing and Steering Long-Running AI Agents,https://arxiv.org/abs/2607.26300,1,0,0,0,0,0,0,0,1,0
source.4cefec20a0a59da7,AgentIR: Reasoning-Aware Retrieval for Deep Research Agents,https://arxiv.org/abs/2603.04384,1,0,0,0,0,0,0,0,0,1
source.73553b81857d32fb,Auditable Agents,https://arxiv.org/abs/2604.05485,1,0,0,0,1,0,0,0,0,0
source.83d15c075f6a6d55,Beyond Compaction: Structured Context Eviction for Long-Horizon Agents,https://arxiv.org/abs/2606.11213,1,0,0,1,0,0,0,0,0,0
source.cc4aeecda466f045,Beyond Semantic Organization: Memory as Execution State Management for Long-Horizon Agents,https://arxiv.org/abs/2606.06090,1,0,0,1,0,0,0,0,0,0
source.d6177a3f495b679f,Code as Agent Harness,https://arxiv.org/abs/2605.18747,1,1,0,0,0,0,0,0,0,0
source.ce00559d40974564,Constitutional Governance for Autonomous AI Agents: Execution Authority Control Layer,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6369059,1,0,0,0,1,0,0,0,0,0
source.02b0860c0422f0ad,Correlation-Aware Contextual Bandits with Surrogate Rewards for LLM Routing,https://arxiv.org/abs/2607.09015,1,0,0,0,0,0,1,0,0,0
source.48bf7ec55f8541e0,"Cyber-Capable AI Agents: Vulnerabilities, Evaluation Containment, and Defensive Response",https://arxiv.org/abs/2607.25379,1,0,0,0,0,1,0,0,0,0
source.3b15e1062e3d8188,Described vs. Established Governance in Agentic AI,https://doi.org/10.2139/ssrn.6592238,1,0,0,0,1,0,0,0,0,0
source.4532f840711ad3a3,GTA: Generating Long-Horizon Tasks for Web Agents at Scale,https://arxiv.org/abs/2605.29218,1,0,0,0,0,0,0,0,1,0
source.f1781d1c722363e1,Graph of Trace: Visualizing Execution Traces of Scientific Agent,https://arxiv.org/abs/2606.15116,1,0,0,0,0,0,0,0,1,0
source.00cdbd2c37785b94,Harness as an Asset: Enforcing Determinism via CAAF,https://arxiv.org/abs/2604.17025,1,1,0,0,0,0,0,0,0,0
source.df576337909a41e0,Harnessing Agent Skills: Architectural Patterns and a Reference Architecture for Skill-Mediated LLM Agents,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6871959,1,1,0,0,0,0,0,0,0,0
source.41823f043f819ba6,LLMRouterBench: A Massive Benchmark and Unified Framework for LLM Routing,https://aclanthology.org/2026.findings-acl.1881/,1,0,0,0,0,0,1,0,0,0
source.34b6186311e13304,Learning Agent Routing From Early Experience,https://arxiv.org/abs/2605.07180,1,0,0,0,0,0,1,0,0,0
source.5329c5e678cda71a,Learning Agent-Compatible Context Management for Long-Horizon Tasks (AdaCoM),https://arxiv.org/abs/2605.30785,1,0,0,1,0,0,0,0,0,0
source.94ecb36c546a0392,"Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers",https://arxiv.org/abs/2603.07670,1,0,0,1,0,0,0,0,0,0
source.56fe776f3dccd34a,"Nine Judges, Two Effective Votes",https://arxiv.org/abs/2605.29800,1,0,0,0,1,0,0,0,0,0
source.ce74854f4476b499,Optimizing Agentic Workflows using Meta-tools,https://www.microsoft.com/en-us/research/publication/optimizing-agentic-workflows-using-meta-tools/,1,0,1,0,0,0,0,0,0,0
source.5ff7e4e0d180857e,Plans Don't Persist: Why Context Management Is Load Bearing for LLM Agents,https://huggingface.co/papers/2606.22953,1,0,0,1,0,0,0,0,0,0
source.0d4c764b93d32117,Plover: Steering GUI Agents through Plan-Centric Interaction,https://arxiv.org/abs/2607.15193,1,0,0,0,0,0,0,0,1,0
source.dd22e0500da4fe5b,ProofAgent Harness: Open Infrastructure for Adversarial Evaluation of AI Agents,https://arxiv.org/abs/2605.24134,1,0,0,0,1,0,0,0,0,0
source.1b928dbd49e113bb,RepoReason: Benchmarking Agentic Code Reasoning at Repository Level,https://arxiv.org/abs/2601.03731,1,0,0,0,0,0,0,0,0,1
source.3edb89ac1cdfa85d,Rethinking the Value of Agent-Generated Tests,https://arxiv.org/abs/2602.07900,1,0,0,0,0,0,0,0,0,1
source.4b8de5e0638dc9a1,RouteJudge: Reproducible and Preference-Aware LLM Routing,https://arxiv.org/abs/2606.18774,1,0,0,0,0,0,1,0,0,0
source.1d06a47b0daac1b1,Runtime-Structured Task Decomposition for Agentic Coding Systems,https://arxiv.org/abs/2605.15425,1,0,1,0,0,0,0,0,0,0
source.bb55030914be6685,SPIFFE Workload API,https://spiffe.io/docs/latest/spiffe-specs/spiffe_workload_api/,1,0,0,0,0,0,0,1,0,0
source.3c67d91571cd08ae,SPIRE concepts,https://spiffe.io/docs/latest/spire-about/spire-concepts/,1,0,0,0,0,0,0,1,0,0
source.7a048515299a67a9,SWE-Router: Routing in Multi-turn Agentic Software Engineering Tasks,https://arxiv.org/abs/2607.00053,1,0,0,0,0,0,1,0,0,0
source.dd853cce8b34c6c8,Securing Agents With Tracked Capabilities,https://doi.org/10.1145/3786335.3813127,1,0,0,0,0,1,0,0,0,0
source.ab4d4efebc6db3a1,Security Risks in Tool-Enabled AI Agents: A Systematic Analysis of Privileged Execution Environments,https://www.microsoft.com/en-us/research/publication/security-risks-in-tool-enabled-ai-agents-a-systematic-analysis-of-privileged-execution-environments/,1,0,0,0,0,1,0,0,0,0
source.9c36c4e226836f49,Sigstore keyless signing overview,https://docs.sigstore.dev/cosign/signing/overview/,1,0,0,0,0,0,0,1,0,0
source.3baf61b7cda7565f,Terminal Is All You Need: Design Properties for Human-AI Agent Collaboration,https://arxiv.org/abs/2603.10664,1,0,0,0,0,0,0,0,1,0
source.1cfa0f4bc5789f72,The Attack and Defense Landscape of Agentic AI,https://arxiv.org/abs/2603.11088,1,0,0,0,0,1,0,0,0,0
source.165616c1dc10ea6a,Theory of Code Space: Do Code Agents Understand Software Architecture?,https://arxiv.org/abs/2603.00601,1,0,0,0,0,0,0,0,0,1
source.a0e75a8ca0547cd4,Toward Securing AI Agents Like Operating Systems,https://arxiv.org/abs/2605.14932,1,1,0,0,0,0,0,0,0,0
source.4db68a774a2144f2,TraceCompiler,https://arxiv.org/abs/2608.02680,1,0,1,0,0,0,0,0,0,0
source.f058dfb829957b22,in-toto Attestation Framework,https://github.com/in-toto/attestation,1,0,0,0,0,0,0,1,0,0
